,title,author name,post url,Date
0,Apple has reportedly started a small number of corporate layoffs,Mitchell Clark,https://www.theverge.com/2023/4/3/23668889/apple-corporate-layoffs-retail-big-tech-cuts,2023-04-03T23:34:58.557Z
1,Flipboard’s done with Twitter.,Mitchell Clark,https://www.theverge.com/2023/4/3/23668966/flipboards-done-with-twitter,2023-04-03T23:33:20.348Z
2,"The Asus ROG Ally handheld gaming PC is real, not an April Fools’ joke",Richard Lawler,https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,2023-04-03T23:00:20.467Z
3,Tesla launches a Cybertruck-styled charging box in China.,Richard Lawler,https://www.theverge.com/2023/4/3/23668913/tesla-launches-a-cybertruck-styled-charging-box-in-china,2023-04-03T22:47:47.046Z
4,"Today in Twitter: where are the retweet labels, and why did Doge replace the bird?",Mitchell Clark,https://www.theverge.com/2023/4/3/23668356/twitter-doge-bird-logo-retweet-labels-following-timeline,2023-04-03T22:34:17.753Z
5,Tesla ordered to pay $3.2 million over worker’s racist treatment.,Emma Roth,https://www.theverge.com/2023/4/3/23668864/tesla-ordered-to-pay-3-2-million-over-workers-racist-treatment,2023-04-03T22:18:53.645Z
6,The best deals on MacBooks right now,Antonio G. Di Benedetto,https://www.theverge.com/22399419/apple-macbook-air-pro-mac-mini-imac-deals,2023-04-03T21:34:33.666Z
7,Hulu’s redesigning its unintuitive interface,Mitchell Clark,https://www.theverge.com/2023/4/3/23668643/hulu-interface-side-bar-redesign,2023-04-03T21:24:45.500Z
8,"If you’re tired of Twitter trouble, Post.news has opened its doors to everyone.",Richard Lawler,https://www.theverge.com/2023/4/3/23668803/if-youre-tired-of-twitter-trouble-post-news-has-opened-its-doors-to-everyone,2023-04-03T21:20:06.394Z
9,Google Flights’ price guarantee could pay you back if your tickets get cheaper,Mitchell Clark,https://www.theverge.com/2023/4/3/23668308/google-flights-price-guarantee-ticket-price-change,2023-04-03T20:40:48.897Z
10,Data’s Twitter account got hacked.,Alex Cranz,https://www.theverge.com/2023/4/3/23668725/datas-twitter-account-got-hacked,2023-04-03T20:32:31.048Z
11,Which devices work with Matter and what's coming soon,Jennifer Pattison Tuohy,https://www.theverge.com/23568091/matter-compatible-devices-accessories-apple-amazon-google-samsung,2023-04-03T20:30:04.454Z
12,Activision settles with Justice Department for limiting esports players’ salaries,Ash Parrish,https://www.theverge.com/2023/4/3/23668568/activision-blizzard-doj-antitrust-suit-overwatch-league,2023-04-03T20:24:19.093Z
13,Spotify shuts down its Clubhouse competitor,Emma Roth,https://www.theverge.com/2023/4/3/23668533/spotify-live-clubhouse-competitor-shutdown,2023-04-03T20:19:01.267Z
14,Google employees may now be forced to use Google products.,Monica Chin,https://www.theverge.com/2023/4/3/23668667/google-employees-will-now-be-forced-to-use-their-own-products,2023-04-03T20:01:39.575Z
15,Please help these poor AIs rate their ASCII art.,Adi Robertson,https://www.theverge.com/2023/4/3/23668655/please-help-these-poor-ais-rate-their-ascii-art,2023-04-03T19:49:10.905Z
16,Sony is adding more accessibility information to games on the PlayStation Store,Jay Peters,https://www.theverge.com/2023/4/3/23668538/sony-playstation-store-accessibility-tags-ps5,2023-04-03T19:19:11.821Z
17,Did you run this by a lawyer?,Mitchell Clark,https://www.theverge.com/2023/4/3/23668547/did-you-run-this-by-a-lawyer,2023-04-03T18:56:56.759Z
18,New astronaut portrait just dropped.,T.C. Sottek,https://www.theverge.com/2023/4/3/23668528/new-astronaut-portrait-just-dropped,2023-04-03T18:40:24.460Z
19,Meet the AI that bets on how the ponies run.,Elizabeth Lopatto,https://www.theverge.com/2023/4/3/23668471/meet-the-ai-that-bets-on-how-the-ponies-run,2023-04-03T18:12:03.654Z
20,The Google Pixel 7 now supports “speaker separation” in Meet.,Emma Roth,https://www.theverge.com/2023/4/3/23668433/the-google-pixel-7-now-supports-speaker-separation-in-meet,2023-04-03T18:06:42.074Z
21,Disney is already remaking Moana as a live-action film,Jay Peters,https://www.theverge.com/2023/4/3/23668430/disney-moana-live-action-remake-dwayne-johnson,2023-04-03T17:54:17.834Z
22,Is Hong Kong the new crypto capital?,Elizabeth Lopatto,https://www.theverge.com/2023/4/3/23668448/is-hong-kong-the-new-crypto-capital,2023-04-03T17:39:29.443Z
23,YouTube will live stream six Coachella feeds at once this year,Jay Peters,https://www.theverge.com/2023/4/3/23668306/youtube-coachella-live-stream-six-feeds,2023-04-03T17:11:57.321Z
24,Google Drive quietly introduced a file creation limit for all users,Emma Roth,https://www.theverge.com/2023/4/3/23667971/google-drive-5-million-files-limit-storage,2023-04-03T16:43:32.254Z
25,"Standard iPhones might get ProMotion, but not for awhile.",Jay Peters,https://www.theverge.com/2023/4/3/23668287/standard-iphones-might-get-promotion-but-not-for-awhile,2023-04-03T16:33:25.109Z
26,Netflix’s Kill Boksoon is a progressive but head-scratching thriller,Sara Merican,https://www.theverge.com/23668060/kill-boksoon-review-netflix,2023-04-03T16:30:00.000Z
27,The Steve Jobs Archive is releasing a free ebook,Jay Peters,https://www.theverge.com/2023/4/3/23668140/steve-jobs-archive-make-something-wonderful-ebook-digital-book,2023-04-03T16:25:11.340Z
28,Microsoft Teams now has a green screen feature to make virtual backgrounds better,Tom Warren,https://www.theverge.com/2023/4/3/23668236/microsoft-teams-green-screen-feature-virtual-backgrounds,2023-04-03T16:18:18.479Z
29,The new Xbox Home UI is getting a community section.,Tom Warren,https://www.theverge.com/2023/4/3/23668263/the-new-xbox-home-ui-is-getting-a-community-section,2023-04-03T16:16:07.647Z
30,FIFA’s post-EA future starts with this AI-powered mobile game,Andrew Webster,https://www.theverge.com/2023/4/3/23667887/fifa-ai-league-mobile-game,2023-04-03T16:00:00.000Z
31,The Blue Beetle busts out a Buster Sword in first trailer,Ash Parrish,https://www.theverge.com/23668090/blue-beetle-trailer-dc-first-look,2023-04-03T15:59:27.099Z
32,The latest iPad Air is once again $100 off — the best value among all iPads,Antonio G. Di Benedetto,https://www.theverge.com/2023/4/3/23667819/ipad-air-amazon-fire-stick-echo-show-10-call-of-duty-deal-sale,2023-04-03T15:49:39.296Z
33,Chemicals banned from air conditioners and refrigerators are making a comeback — and scientists don’t know why,Justine Calma,https://www.theverge.com/2023/4/3/23665293/cfcs-air-conditioning-refrigerants-ozone-depleting-chemicals-surprise-comeback,2023-04-03T15:41:12.219Z
34,The best robot vacuum you can buy right now,Jennifer Pattison Tuohy,https://www.theverge.com/22997597/best-robot-vacuum-cleaner,2023-04-03T15:36:32.355Z
35,NASA’s first trip back to the Moon has a crew.,Alex Cranz,https://www.theverge.com/2023/4/3/23668166/nasas-first-trip-back-to-the-moon-has-a-crew,2023-04-03T15:36:07.235Z
36,April Fools’ Day 2023: the best and cringiest pranks,Richard Lawler,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,2023-04-03T15:25:51.969Z
37,AI is entering an era of corporate control,James Vincent,https://www.theverge.com/23667752/ai-progress-2023-report-stanford-corporate-control,2023-04-03T15:00:00.000Z
38,The Asus ROG Ally handheld is real and aimed directly at the Steam Deck.,Richard Lawler,https://www.theverge.com/2023/4/3/23667925/the-asus-rog-ally-handheld-is-real-and-aimed-directly-at-the-steam-deck,2023-04-03T14:48:31.625Z
39,Mario’s limited edition hot sauce probably won’t give you fire powers.,Charles Pulliam-Moore,https://www.theverge.com/2023/4/3/23668018/marios-limited-edition-hot-sauce-probably-wont-give-you-fire-powers,2023-04-03T14:37:07.825Z
